 	Area	X	Y	Slice
692	142	457.613	247.331	1
693	154	76.669	286.649	1
694	129	382.360	337.849	1
695	113	468.765	346.606	1
696	139	102.399	397.550	1
697	129	429.291	397.547	1
698	122	247.582	469.311	1
699	124	483.524	478.113	1
700	109	403.060	156.032	1
701	137	294.858	216.953	1
702	136	455.228	238.816	1
703	143	75.444	287.577	1
704	128	380.969	337.828	1
705	100	471.890	350.180	1
706	131	103.958	388.958	1
707	122	431.803	395.320	1
708	109	246.417	466.610	1
709	112	483.125	477.580	1
710	91	401.665	157.797	1
711	135	292.952	218.981	1
712	125	459.732	239.076	1
713	144	76.882	287.722	1
714	114	377.219	335.149	1
715	84	475.452	360.238	1
716	125	99.884	386.500	1
717	109	429.592	393.867	1
718	95	247.037	466.900	1
719	89	484.848	478.579	1
720	103	400.956	162.374	1
721	140	291.779	213.814	1
722	132	462.545	238.477	1
723	141	71.571	288.642	1
724	122	374.533	337.016	1
725	98	473.020	362.602	1
726	131	97.615	383.943	1
727	116	431.793	390.086	1
728	111	248.914	472.302	1
729	108	482.250	480.315	1
730	120	403.358	163.325	1
731	147	291.310	209.085	1
732	143	463.255	237.479	1
733	153	75.193	286.160	1
734	130	376.469	340.469	1
735	115	473.778	362.622	1
736	144	100.062	384.972	1
737	129	429.345	390.500	1
738	125	248.356	471.892	1
739	115	476.761	484.335	1
740	113	400.686	163.845	1
741	147	289.235	208.656	1
742	144	466.840	239.222	1
743	149	74.842	281.426	1
744	135	379.085	342.507	1
745	113	475.863	364.872	1
746	139	105.248	385.306	1
747	131	424.630	392.973	1
748	120	247.283	471.900	1
749	122	475.574	484.484	1
750	100	400	162.750	1
751	137	282.288	206.288	1
752	132	462.606	235.917	1
753	145	76.803	280.500	1
754	120	383.792	338.592	1
755	87	475.569	363.891	1
756	133	104.771	390.380	1
757	115	426.291	395.117	1
758	106	247.547	472.547	1
759	97	474.840	484.716	1
760	92	403.152	159.457	1
761	138	282.087	205.246	1
762	129	457.461	230.756	1
763	141	80.500	285.372	1
764	120	378.392	334.633	1
765	91	476.610	358.676	1
766	125	107.956	394.972	1
767	112	423.598	397.696	1
768	104	249.452	469.212	1
769	99	467.540	483.864	1
770	107	404.855	160.930	1
771	145	276.438	203.707	1
772	137	460.478	228.989	1
773	150	81.873	284.487	1
774	127	381.854	334.642	1
775	106	479.179	358.349	1
776	134	109.097	398.284	1
777	123	420.346	397.988	1
778	119	250.147	467.206	1
779	117	464.013	481.107	1
780	120	412.533	158.742	1
781	148	271.764	209.486	1
782	141	467.862	232.727	1
783	153	82.892	284.507	1
784	133	385.342	335.500	1
785	113	479.367	360.190	1
786	140	108.229	397.929	1
787	127	421.169	398.657	1
788	119	251.147	466.088	1
789	124	469.395	484.734	1
790	115	410.152	154.309	1
791	146	267.253	209.925	1
792	134	467.769	229.813	1
793	151	87.407	279.957	1
794	129	383.523	331.043	1
795	102	480.578	357.343	1
796	124	418.919	393.847	1
797	132	106.250	397.886	1
798	111	255.608	463.986	1
799	109	470.610	482.638	1
800	94	412.915	154.915	1
801	137	267.456	204.135	1
802	130	476.185	230.500	1
803	143	87.703	274.962	1
804	115	381.126	331.404	1
805	84	479.190	357.405	1
806	110	417.555	395.855	1
807	132	108.492	397.811	1
808	102	252.980	462.706	1
809	94	472.989	484.362	1
810	106	415.792	156.387	1
811	139	267.543	202.335	1
812	132	481.098	230.091	1
813	146	86.110	271.315	1
814	120	375.208	332.117	1
815	96	475.469	359.135	1
816	115	414.143	392.674	1
817	129	112.105	398.477	1
818	105	255.214	465.729	1
819	106	474	483.670	1
820	123	418.687	156.516	1
821	144	268.382	194.118	1
822	142	480.338	227.683	1
823	146	88.479	270.473	1
824	134	374.381	331.634	1
825	112	476.812	360.214	1
826	128	416.555	390.195	1
827	141	114.195	399.613	1
828	126	259.071	463.929	1
829	121	475.021	482.252	1
830	119	416.223	158.735	1
831	144	269.319	190.444	1
832	137	475.602	228.004	1
833	146	90.438	271.295	1
834	127	375.476	329.217	1
835	114	475.693	357.974	1
836	125	416.508	391.220	1
837	138	119.355	401.543	1
838	117	257.073	466.064	1
839	118	471.975	484.678	1
840	101	416.936	157.292	1
841	141	271.798	187.486	1
842	126	476.524	230.008	1
843	145	88.734	273.597	1
844	121	378.682	330.219	1
845	87	476.259	363.672	1
846	116	418.750	390.172	1
847	128	119.531	405.375	1
848	109	259.161	467.647	1
849	104	472.413	485.740	1
850	104	412.702	157.923	1
851	137	275.471	185.653	1
852	123	479.679	223.370	1
853	141	93.741	277.060	1
854	120	380.492	329.517	1
855	87	481.868	365.282	1
856	113	418.350	392.836	1
857	127	118.248	403.224	1
858	103	261.850	467.228	1
859	94	470.521	487.681	1
860	115	413.674	154.839	1
861	144	279.472	187.840	1
862	135	480.567	221.804	1
863	150	88.013	281.513	1
864	133	380.372	327.823	1
865	107	486.939	368.033	1
866	125	421.468	394.316	1
867	136	116.059	397.426	1
868	118	258.975	467.068	1
869	116	468.957	493.302	1
870	122	413.943	151.541	1
871	150	281.207	185.160	1
872	142	484.958	224.704	1
873	155	85.913	283.429	1
874	130	382.554	323.877	1
875	109	487.069	374.427	1
876	134	420.672	393.276	1
877	138	117.377	394.543	1
878	120	259.842	467.817	1
879	123	466.801	489.923	1
880	107	413.631	156.528	1
881	141	282.968	183.741	1
882	133	483.650	219.778	1
883	148	89.014	286.081	1
884	126	384.421	323.270	1
885	99	489.722	379.308	1
886	120	421.392	393.633	1
887	133	116.793	396.936	1
888	114	261.921	470.526	1
889	112	467.125	488.339	1
890	100	414.510	161.330	1
891	132	280.288	183.318	1
892	131	486.836	216.943	1
893	139	90.493	289.212	1
894	120	381.800	323.600	1
895	77	487.799	383.578	1
896	117	422.389	395.987	1
897	121	113.665	398.748	1
898	107	267.827	472.322	1
899	91	468.060	488.148	1
900	110	415.855	164.455	1
901	140	281.664	184.936	1
902	131	486.798	215.889	1
903	144	87.333	288.299	1
904	124	379.081	330.621	1
905	92	490.533	379.793	1
906	114	417.061	398.675	1
907	129	110.647	402.562	1
908	108	271.065	476.370	1
909	107	468.397	487.930	1
910	119	416.172	167.055	1
911	149	279.802	182.735	1
912	141	487.372	214.500	1
913	155	85.797	290.874	1
914	131	373.828	331.042	1
915	108	487.148	375.667	1
916	125	416.780	398.612	1
917	141	111.060	407.089	1
918	123	278.289	474.053	1
919	124	470.726	489.927	1
920	122	411.664	164.746	1
921	149	276.889	183.789	1
922	136	488.882	216.515	1
923	153	87.167	291.964	1
924	134	373.127	331.127	1
925	108	486.824	371.981	1
926	124	422.379	394.935	1
927	138	117.681	412.522	1
928	123	277.866	474.118	1
929	121	471.169	489.393	1
930	94	410.426	160.234	1
931	140	274.986	186.643	1
932	126	497.254	219.802	1
933	141	89.543	293.663	1
934	123	370.825	333.557	1
935	87	490.017	370.833	1
936	114	424.482	394.623	1
937	128	116.195	414.281	1
938	111	278.167	475.086	1
939	96	473.406	489.542	1
940	87	410.684	158.569	1
941	136	267.721	185.971	1
942	125	494.268	216.060	1
943	142	87.479	291.542	1
944	115	368.057	332.248	1
945	84	491.655	370.976	1
946	113	424.146	395.686	1
947	119	117.920	413.845	1
948	104	275.337	478.923	1
949	92	471.304	485.446	1
950	105	410.719	160.138	1
951	144	259.625	191.701	1
952	134	492.313	217.284	1
953	143	89.437	291.437	1
954	127	371.035	331.272	1
955	94	493.543	368.649	1
956	120	423.725	397.092	1
957	128	122.070	418.812	1
958	117	272.124	482.996	1
959	114	471.754	485.158	1
960	124	415.871	153.847	1
961	149	255.513	192.822	1
962	141	495.415	217.500	1
963	154	90.734	290.097	1
964	136	368.993	333.007	1
965	118	492.542	368.331	1
966	128	419.297	397.914	1
967	141	122.379	420.550	1
968	121	469.855	484.798	1
969	123	277.402	490.134	1
970	111	412.968	153.464	1
971	145	253.728	190.052	1
972	134	493.172	218.336	1
973	147	89.622	289.459	1
974	131	370.332	333.492	1
975	103	495.655	365.840	1
976	124	417.161	397.524	1
977	132	121.924	420.606	1
978	118	472.551	478.703	1
979	115	277.909	494.709	1
980	94	413.011	152.032	1
981	135	253.426	189.522	1
982	127	498.453	215.571	1
983	143	88.199	289.255	1
984	115	372.804	339.474	1
985	87	494.075	364.879	1
986	107	422.734	395.986	1
987	118	126	419.822	1
988	100	474.390	478.940	1
989	94	277.606	491.926	1
990	109	419.142	153.803	1
991	141	253.039	187.110	1
992	124	499.484	211.661	1
993	145	90.190	286.659	1
994	114	373.237	337.895	1
995	89	494.803	362.421	1
996	114	423.605	399.509	1
